time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
736,7.1,46,1.0546433599999998,5389,115,0.43952487111091615,0.2758882807360755,0.001,5288,,
740,7.05,46,1.03933646,5412,115,0.34166326820850373,0.20796359330415726,0.001,5310,,
744,6.91,47,1.03439215,5430,115,0.34623998403549194,0.16383692622184753,0.001,5328,,
748,6.96,47,1.0393227999999999,5459,115,0.3058570275704066,0.1551113799214363,0.001,5354,,
752,7.0,47,1.1613587699999999,5494,115,0.42864930381377536,0.17226149819113992,0.001,5390,,
756,6.88,47,1.19699165,5513,115,0.3998812238375346,0.1807321310043335,0.001,5412,,
760,6.81,48,1.27803336,5539,115,0.2927239388227463,0.21198739235599837,0.001,5437,,
764,6.9,48,1.31964525,5570,115,0.4773142834504445,0.14614979922771454,0.001,5468,,
768,6.91,48,1.3725887700000001,5599,115,0.4014151573181152,0.1799480974674225,0.001,5493,,
772,6.78,48,1.4249080599999997,5619,115,0.2943713739514351,0.1877614825963974,0.001,5517,,
776,6.86,48,1.3925346599999997,5649,115,0.48484671860933304,0.15698570013046265,0.001,5546,,
780,6.8,49,1.3591939699999998,5670,115,0.2554413974285126,0.20460525155067444,0.001,5567,,
784,6.92,49,1.3035103199999998,5709,115,0.3227644726634026,0.18488737669858066,0.001,5605,,
788,6.92,49,1.27345267,5735,115,0.40962380543351173,0.22360255382955074,0.001,5634,,
792,7.05,50,1.4100549700000002,5774,115,0.3035672280405249,0.1489707947923587,0.001,5672,,
796,6.95,50,1.45344156,5802,115,0.38582465052604675,0.1640213243663311,0.001,5696,,
800,6.87,50,1.46917066,5824,115,0.41918687522411346,0.16069826036691665,0.001,5719,,
804,6.88,50,1.4356932800000002,5847,115,0.4190220385789871,0.16334214620292187,0.001,5741,,
808,6.98,50,1.4661767099999998,5879,115,0.330348198612531,0.17972093323866525,0.001,5777,,
812,6.91,51,1.44923318,5897,115,0.2454981878399849,0.18580630123615266,0.001,5796,,
816,6.84,51,1.35851034,5921,115,0.32026776671409607,0.17040524631738663,0.001,5818,,
820,6.97,51,1.34566809,5956,115,0.3446879148483276,0.14606505963537428,0.001,5850,,
824,6.88,51,1.3071804899999997,5975,115,0.19426599144935608,0.1556181013584137,0.001,5873,,
828,6.89,51,1.2731158800000002,6007,115,0.27546078711748123,0.15050219893455505,0.001,5901,,
832,6.7,52,1.2102413600000002,6033,115,0.3485134318470955,0.15398280322551727,0.001,5927,,
836,6.67,52,1.2207310700000003,6056,115,0.32595016062259674,0.1739111120502154,0.001,5955,,
840,6.7,52,1.2181817099999999,6082,115,0.37771590799093246,0.16824265486664242,0.001,5977,,
844,6.77,52,1.1976663400000003,6107,115,0.23208774626255035,0.21402995926993235,0.001,6002,,
848,6.81,53,1.1832689,6140,115,0.22870535813272,0.15022469108754938,0.001,6037,,
852,6.68,53,1.1293829000000002,6162,115,0.18081247309843698,0.15449437924793788,0.001,6061,,
856,6.8,53,1.18340962,6193,115,0.37440961599349976,0.14001018106937407,0.001,6091,,
860,6.79,53,1.1568282200000002,6218,115,0.25454104840755465,0.19582664966583252,0.001,6117,,
864,6.66,53,1.09855754,6236,115,0.00698676542378962,0.21104701980948448,0.001,6134,,
868,6.63,54,1.1043719,6262,115,0.3726177861293157,0.12222941964864731,0.001,6156,,
872,6.71,54,1.12637777,6290,115,0.386768102645874,0.14585788398981095,0.001,6187,,
876,6.7,54,1.17845752,6319,115,0.33632379174232485,0.16469529643654823,0.001,6217,,
880,6.7,54,1.1919790600000002,6340,115,0.38534968346357346,0.1385720357298851,0.001,6237,,
884,6.61,54,1.18248603,6370,115,0.5071691870689392,0.13993714451789857,0.001,6262,,
888,6.66,55,1.18063961,6401,115,0.37782910466194153,0.1580250132828951,0.001,6295,,
892,6.57,55,1.13836239,6431,115,0.2409517914056778,0.16265555024147033,0.001,6327,,
896,6.52,55,1.13425749,6454,115,0.11429141834378242,0.19739697277545928,0.001,6351,,
900,6.57,55,1.12867122,6481,115,0.3019236313800017,0.13855830715461212,0.001,6380,,
904,6.63,56,1.12079957,6510,115,0.2250905567780137,0.16405216521686977,0.001,6409,,
908,6.51,56,1.11127994,6530,115,0.23771347105503082,0.1472196102142334,0.001,6428,,
912,6.6,56,1.1123729500000001,6557,115,0.3375921845436096,0.15740203484892845,0.001,6454,,
916,6.6,56,1.1381960599999998,6581,115,0.3098856012026469,0.14082794338464738,0.001,6476,,
920,6.48,56,1.19070341,6604,115,0.3772030770778656,0.1428718315437436,0.001,6502,,
924,6.57,57,1.1707199000000001,6632,115,0.40927300850550336,0.15559895833333334,0.001,6526,,
928,6.55,57,1.20979357,6662,115,0.17993424336115518,0.1904553323984146,0.001,6556,,
932,6.57,57,1.2362062699999998,6690,115,0.35609811544418335,0.16924450695514678,0.001,6586,,
936,6.6,57,1.24696629,6716,115,0.31139858067035675,0.1563138080139955,0.001,6612,,
940,6.54,58,1.26817452,6736,115,0.3822537362575531,0.14323489964008332,0.001,6635,,
944,6.55,58,1.25821824,6762,116,0.3132215887308121,0.13189931511878966,0.001,6656,,
948,6.48,58,1.28185903,6788,116,0.32261746128400165,0.1180126965045929,0.001,6682,,
952,6.55,58,1.3553540099999999,6817,116,0.20218238110343614,0.15116352339585623,0.001,6711,,
956,6.44,58,1.3058748299999998,6837,116,0.2914351671934128,0.15537121146917343,0.001,6736,,
960,6.48,59,1.32380784,6866,116,0.23021907173097134,0.14426447823643684,0.001,6760,,
964,6.55,59,1.3423140199999997,6891,116,0.3391040600836277,0.13776860965622795,0.001,6789,,
968,6.49,59,1.25435214,6911,116,0.2552042404810588,0.1648408124844233,0.001,6809,,
972,6.51,59,1.21021778,6941,116,0.13876764103770256,0.12870991230010986,0.001,6839,,
976,6.48,59,1.15378992,6967,116,0.2632816433906555,0.23511069118976594,0.001,6859,,
980,6.47,60,1.13076839,6987,116,0.114992360273997,0.1839459016919136,0.001,6886,,
984,6.42,60,1.2035265299999998,7012,116,0.24622039310634136,0.18342077235380808,0.001,6909,,
988,6.45,60,1.21747995,7046,116,0.2838514015078545,0.18559302224053276,0.001,6944,,
