time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
1910,53,316,-4.552757119999999,35,6.15,6.665727138519287,0.0003,-10.252609252929688,1809,-12.994840621948242,0.5831402540206909,,
1934,53,320,-4.568298259999999,36,6.13,6.752688407897949,0.0003,-10.338180541992188,1833,-13.213916778564453,0.5790659785270691,,
1952,53,324,-4.57361282,36,6.12,7.316123962402344,0.0003,-10.389135360717773,1851,-14.26953411102295,0.5760339498519897,,
1983,53,328,-4.62725424,37,6.25,8.714694023132324,0.0003,-10.54732608795166,1882,-12.251862525939941,0.5708310604095459,,
2004,53,332,-4.56391601,37,6.15,6.518620014190674,0.0003,-10.70477294921875,1903,-12.941327095031738,0.5673182606697083,,
2035,53,336,-4.592791250000001,38,6.24,6.431400299072266,0.0003,-10.911399841308594,1934,-12.724613189697266,0.5621621012687683,,
2058,53,340,-4.62745343,38,6.18,7.626447677612305,0.0003,-10.938949584960938,1957,-12.926262855529785,0.5583574175834656,,
2078,53,344,-4.625516080000001,38,6.18,6.026900768280029,0.0003,-11.208356857299805,1977,-13.256721496582031,0.5550795197486877,,
2109,53,348,-4.63686545,39,6.25,6.1121649742126465,0.0003,-11.437971115112305,2008,-12.115226745605469,0.5500462055206299,,
2139,53,352,-4.658925249999999,40,6.34,6.7246294021606445,0.0003,-11.630411148071289,2038,-12.825704574584961,0.5451964735984802,,
2166,53,356,-4.63171732,40,6.33,8.02877140045166,0.0003,-11.583009719848633,2065,-12.309459686279297,0.5408691763877869,,
2184,53,360,-4.62815319,41,6.29,6.421754360198975,0.0003,-11.720985412597656,2083,-12.085890769958496,0.5380048751831055,,
2208,52,364,-4.6453927,41,6.32,6.081599235534668,0.0003,-11.9268217086792,2107,-12.241872787475586,0.5341938734054565,,
2231,52,368,-4.538320189999999,42,6.3,8.888545989990234,0.0003,-12.130341529846191,2130,-12.444456100463867,0.5305646657943726,,
2256,52,372,-4.53222554,42,6.25,6.143439769744873,0.0003,-12.144739151000977,2155,-11.641223907470703,0.5266366600990295,,
2275,52,376,-4.48431505,42,6.16,3.7760467529296875,0.0003,-12.220645904541016,2174,-11.456903457641602,0.5236813426017761,,
2305,52,380,-4.460706350000001,43,6.16,7.256171226501465,0.0003,-12.422775268554688,2204,-12.527182579040527,0.5190372467041016,,
2329,52,384,-4.4314512,44,6.11,5.689100742340088,0.0003,-12.671683311462402,2228,-11.213357925415039,0.5153560638427734,,
2346,52,388,-4.405531379999999,44,6.1,6.034303665161133,0.0003,-12.690909385681152,2245,-11.177199363708496,0.5127554535865784,,
2370,52,392,-4.412168309999999,44,6.13,3.7537827491760254,0.0003,-12.994564056396484,2269,-10.583843231201172,0.5091142654418945,,
2397,52,396,-4.39517204,45,6.11,5.913686752319336,0.0003,-13.0133695602417,2296,-10.636805534362793,0.5050406455993652,,
2419,52,400,-4.38682914,45,6.07,6.295929431915283,0.0003,-13.049979209899902,2318,-11.232179641723633,0.5017459988594055,,
2446,52,404,-4.37023222,46,6.06,5.851997375488281,0.0003,-13.205211639404297,2345,-10.74453353881836,0.49774250388145447,,
2473,52,408,-4.405866849999999,46,6.13,4.713993072509766,0.0003,-13.056196212768555,2372,-10.460550308227539,0.4937976598739624,,
2494,52,412,-4.34355069,47,6.1,5.240332126617432,0.0003,-12.826318740844727,2393,-11.45633602142334,0.4908023774623871,,
2518,52,416,-4.359987320000001,47,6.08,3.6021006107330322,0.0003,-13.088399887084961,2417,-10.56342887878418,0.4874403774738312,,
2544,52,420,-4.41927968,48,6.1,2.887651205062866,0.0003,-13.2816162109375,2443,-9.463912963867188,0.4838303327560425,,
2566,52,424,-4.511294759999999,48,6.14,3.351064920425415,0.0003,-13.72374153137207,2465,-9.953513145446777,0.4808077812194824,,
2594,52,428,-4.546436750000001,49,6.11,3.7866945266723633,0.0003,-13.530754089355469,2493,-10.455175399780273,0.47697240114212036,,
2626,52,432,-4.62665833,50,6.22,4.235030174255371,0.0003,-13.84638786315918,2525,-10.321951866149902,0.47261032462120056,,
2650,52,436,-4.54279603,50,6.15,3.0535173416137695,0.0003,-14.002152442932129,2549,-9.1241455078125,0.46933606266975403,,
2669,52,440,-4.51519065,50,6.11,4.210855484008789,0.0003,-14.191020965576172,2568,-9.304309844970703,0.46673959493637085,,
2693,52,444,-4.52524408,51,6.15,3.610629081726074,0.0003,-14.320103645324707,2592,-8.96175479888916,0.4634868800640106,,
2715,52,448,-4.47485875,51,6.06,3.4221158027648926,0.0003,-14.523286819458008,2614,-8.501791000366211,0.46051785349845886,,
2737,52,452,-4.3997436,52,5.98,3.2081027030944824,0.0003,-14.568172454833984,2636,-8.910602569580078,0.45755693316459656,,
2761,52,456,-4.35625735,52,5.95,4.320584297180176,0.0003,-14.89480209350586,2660,-8.470926284790039,0.45434001088142395,,
2795,52,460,-4.47819501,53,6.11,2.7065141201019287,0.0003,-15.076876640319824,2694,-8.281219482421875,0.44977250695228577,,
2822,52,464,-4.51321864,53,6.14,3.6952857971191406,0.0003,-14.986154556274414,2721,-10.038935661315918,0.44617021083831787,,
2847,52,468,-4.549825459999999,54,6.16,2.770721673965454,0.0003,-15.296782493591309,2746,-8.418222427368164,0.44287049770355225,,
2878,52,472,-4.58841978,54,6.22,2.7595715522766113,0.0003,-15.303396224975586,2777,-8.878091812133789,0.43883049488067627,,
2904,52,476,-4.56431725,55,6.29,3.272897481918335,0.0003,-15.344221115112305,2803,-9.179265975952148,0.43548527359962463,,
2928,52,480,-4.540527089999999,56,6.23,2.7606348991394043,0.0003,-15.497649192810059,2827,-8.562597274780273,0.432435542345047,,
2953,52,484,-4.542576639999999,56,6.24,3.127469301223755,0.0003,-15.582962036132812,2852,-8.080514907836914,0.42928850650787354,,
2976,52,488,-4.53932174,57,6.3,3.079226493835449,0.0003,-15.611078262329102,2875,-8.4471435546875,0.4264281094074249,,
3001,52,492,-4.59014833,57,6.31,2.519857168197632,0.0003,-15.678719520568848,2900,-8.762530326843262,0.42333340644836426,,
3025,52,496,-4.5527545599999995,57,6.28,2.638519525527954,0.0003,-15.869071960449219,2924,-8.934881210327148,0.4203726649284363,,
3048,52,500,-4.5017096599999995,58,6.29,2.753787040710449,0.0003,-15.803760528564453,2947,-8.44991683959961,0.417554646730423,,
3071,52,504,-4.5393644,58,6.25,2.460160255432129,0.0003,-16.292526245117188,2970,-8.257243156433105,0.414763867855072,,
3098,52,508,-4.541256140000001,59,6.25,2.9615046977996826,0.0003,-16.214855194091797,2997,-8.163826942443848,0.4114849269390106,,
3117,52,512,-4.467379940000001,59,6.23,2.298454999923706,0.0003,-16.6600341796875,3016,-7.973384857177734,0.4091871678829193,,
3148,52,516,-4.39779093,60,6.3,2.2093346118927,0.0003,-16.684341430664062,3047,-7.137979507446289,0.4054611325263977,,
3170,52,520,-4.209196970000001,60,6.26,2.193544864654541,0.0003,-16.834375381469727,3069,-7.874645233154297,0.40284112095832825,,
3192,52,524,-4.06831946,61,6.26,1.9511717557907104,0.0003,-16.901836395263672,3091,-7.385278701782227,0.40023282170295715,,
3210,52,528,-3.91239097,61,6.16,2.231262683868408,0.0003,-17.152469635009766,3109,-7.720344066619873,0.3981102705001831,,
3244,52,532,-3.864887520000001,62,6.18,2.3156557083129883,0.0003,-17.09170913696289,3143,-7.524066925048828,0.3941494822502136,,
3273,52,536,-3.8808741500000004,62,6.23,2.171200752258301,0.0003,-17.444093704223633,3172,-7.6815619468688965,0.3908153176307678,,
3297,51,540,-3.8955431400000005,63,6.28,2.320050001144409,0.0003,-17.683252334594727,3196,-7.4764628410339355,0.38808080554008484,,
3316,51,544,-3.85461678,63,6.23,2.251183271408081,0.0003,-17.241600036621094,3215,-8.083181381225586,0.3859241306781769,,
3343,51,548,-3.8733317100000004,64,6.28,2.173074245452881,0.0003,-17.47077178955078,3242,-7.335811614990234,0.3828984200954437,,
3375,51,552,-3.9600638599999995,65,6.38,1.9910345077514648,0.0003,-17.78545379638672,3274,-7.109675407409668,0.3793254792690277,,
3394,51,556,-3.95607879,65,6.33,1.5893218517303467,0.0003,-17.986433029174805,3293,-6.587733268737793,0.37720292806625366,,
3420,51,560,-3.80561335,65,6.25,2.1516919136047363,0.0003,-17.87114143371582,3319,-7.376099109649658,0.3743114471435547,,
3447,51,564,-3.8197924400000005,66,6.25,1.6609307527542114,0.0003,-18.659072875976562,3346,-6.855386734008789,0.3713340163230896,,
3478,51,568,-3.9350988000000005,67,6.31,2.0012035369873047,0.0003,-18.587554931640625,3377,-7.039620399475098,0.3679162561893463,,
3503,51,572,-3.8777757699999995,67,6.25,1.5550059080123901,0.0003,-18.485597610473633,3402,-6.427152156829834,0.36519697308540344,,
3523,51,576,-3.90042278,67,6.19,1.723219871520996,0.0003,-18.06430435180664,3422,-6.517492294311523,0.36305904388427734,,
3550,51,580,-3.9162496399999998,68,6.22,1.4142014980316162,0.0003,-18.854305267333984,3449,-6.385643005371094,0.3602351248264313,,
3580,51,584,-3.97409725,69,6.27,1.416335105895996,0.0003,-18.78909683227539,3479,-6.811417102813721,0.3571397662162781,,
3609,51,588,-3.9767926400000007,69,6.33,1.832099199295044,0.0003,-18.61306381225586,3508,-6.330965995788574,0.35416850447654724,,
3634,51,592,-4.019679160000001,70,6.33,1.5400331020355225,0.0003,-18.794281005859375,3533,-6.066308498382568,0.35162463784217834,,
