time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
156,7.02,6748,1.57360201,43,924,0.001,0.07332872748374938,6643,-0.01353675127029419,,
156,7.05,6781,1.5854473100000002,43,928,0.001,0.08104145377874375,6678,-0.14167377352714539,,
155,7.06,6810,1.6213792800000004,43,932,0.001,0.08250701129436493,6708,-0.03472621242205302,,
155,7.04,6836,1.6108510900000002,43,936,0.001,0.09424972427742821,6734,-0.15972062479704618,,
155,7.05,6864,1.63538485,44,940,0.001,0.08523468673229218,6761,-0.12595526377360025,,
155,6.98,6885,1.6319878599999997,44,944,0.001,0.09204105536142985,6783,-0.07462392964710791,,
155,6.94,6913,1.5784630599999998,44,948,0.001,0.08260569597284,6811,-0.10050349434216817,,
155,6.99,6945,1.6759522199999999,44,952,0.001,0.07725334279239178,6842,-0.10104564502835274,,
155,6.93,6969,1.6265404900000002,44,956,0.001,0.07581719607114792,6867,0.007090436294674873,,
155,6.85,6994,1.6688358799999998,44,960,0.001,0.07783272282944785,6891,-0.15483232401311398,,
155,6.9,7022,1.7292836500000002,45,964,0.001,0.0778453101714452,6917,-0.15859920034805933,,
155,6.83,7042,1.71598362,45,968,0.001,0.07520822286605836,6940,-0.19271204868952432,,
155,6.86,7072,1.6752332800000003,45,972,0.001,0.07103266902267932,6970,-0.13686332926154138,,
155,6.72,7095,1.5857115899999998,45,976,0.001,0.07235935479402542,6993,-0.21447857469320297,,
155,6.75,7122,1.62195744,45,980,0.001,0.07108609974384308,7018,-0.10346358393629392,,
155,6.78,7147,1.70392381,45,984,0.001,0.0703025683760643,7040,-0.10584123308459918,,
155,6.89,7188,1.8005081400000003,46,988,0.001,0.08127327216789126,7082,-0.12765872245654464,,
155,6.89,7218,1.7613732400000002,46,992,0.001,0.0909939393401146,7112,-0.1691733400026957,,
155,6.82,7244,1.80076021,46,996,0.001,0.0786905586719513,7142,-0.18117403984069824,,
155,6.93,7283,1.8354820699999999,46,1000,0.001,0.07604075542518071,7170,-0.08582727145403624,,
155,6.93,7310,1.7703381100000002,46,1004,0.001,0.09090167780717213,7206,-0.1881809482971827,,
155,6.95,7333,1.7948201700000004,47,1008,0.001,0.0931224837899208,7230,-0.2357289344072342,,
155,7.03,7366,1.7279127100000002,47,1012,0.001,0.09562632888555526,7263,-0.08241938054561615,,
155,6.95,7390,1.71951237,47,1016,0.001,0.09189434473713239,7287,-0.19754367073376974,,
155,6.97,7419,1.7352364500000002,47,1020,0.001,0.08436319530010224,7312,-0.1596487114826838,,
155,7.0,7448,1.7403543,47,1024,0.001,0.09111593539516132,7346,-0.1761329174041748,,
155,6.88,7469,1.7165319200000002,48,1028,0.001,0.08211752921342849,7367,-0.03437740355730057,,
155,6.85,7495,1.68244404,48,1032,0.001,0.08408776968717575,7392,-0.11925932889183362,,
155,6.93,7529,1.7103603699999999,48,1036,0.001,0.07520855590701103,7424,-0.15617903992533683,,
155,6.93,7557,1.7657878099999997,48,1040,0.001,0.08375513127871922,7455,-0.1481087456146876,,
155,7.01,7586,1.7728415100000001,48,1044,0.001,0.08146294113248587,7483,-0.11128983274102211,,
155,6.97,7610,1.7802550099999999,48,1048,0.001,0.08123767375946045,7507,-0.26409219205379486,,
155,6.89,7634,1.7744904899999998,49,1052,0.001,0.08785857409238815,7529,-0.10346768796443939,,
155,6.91,7660,1.78163582,49,1056,0.001,0.0871839498480161,7557,-0.24926905582348505,,
155,6.94,7688,1.8106605899999997,49,1060,0.001,0.08169214303294818,7586,-0.17115651567777,,
155,6.93,7715,1.8452056400000003,49,1064,0.001,0.07953284255095891,7612,-0.20590505376458168,,
155,6.99,7741,1.8922036500000001,49,1068,0.001,0.08285682648420334,7640,-0.2702454874912898,,
155,6.89,7761,1.9217917400000002,49,1072,0.001,0.07891227751970291,7659,-0.29344021528959274,,
155,6.96,7791,1.9419409699999997,50,1076,0.001,0.07795139215886593,7686,-0.21813219785690308,,
155,7.0,7822,1.9711031499999998,50,1080,0.001,0.10143545021613438,7718,-0.17568088074525198,,
155,7.05,7852,1.9466790999999999,50,1084,0.001,0.09085359871387481,7749,-0.14081470668315887,,
155,6.9,7878,1.8456777599999998,50,1088,0.001,0.09270300929035459,7773,-0.22385393207271895,,
155,6.85,7903,1.7863932399999995,50,1092,0.001,0.08772736042737961,7799,-0.2951085915168126,,
155,6.82,7926,1.8034971999999998,51,1096,0.001,0.07423385381698608,7821,-0.30392370373010635,,
155,6.79,7962,1.7695253,51,1100,0.001,0.09746131052573521,7860,-0.2418890818953514,,
155,6.8,7990,1.79877507,51,1104,0.001,0.10161501914262772,7884,-0.1668494592110316,,
155,6.86,8019,1.78896886,51,1108,0.001,0.09193134605884552,7915,-0.2993219569325447,,
155,6.82,8048,1.8281252899999996,51,1112,0.001,0.08263452102740605,7940,-0.2525325467189153,,
155,6.83,8073,1.8397533,51,1116,0.001,0.08347960710525512,7969,-0.14909058064222336,,
